window,max_psi,mean_psi,num_severe,top_group,top_group_share,attribution_entropy,perf_drop,baseline_auc,window_auc,retrain
0,0.3912534418451258,0.0151291635826507,6,temporal,0.3051010880392154,1.3523319633562925,0.0008142290007262,0.9808783512268456,0.9800641222261196,False
1,1.3602479718074665,0.0319596227526508,14,monetary,0.4004193026252705,1.3199533353302102,2.0240515057667885e-05,0.9808783512268456,0.980858110711788,False
2,1.905213445708812,0.0454910756343062,32,monetary,0.4249745044166239,1.287546071225103,0.0036630524572758,0.9808783512268456,0.97721529876957,False
3,1.127515367196828,0.0172748693374285,8,temporal,0.33924198795845,1.3059634259185335,-0.0020794344410662,0.9808783512268456,0.982957785667912,False
4,1.0769035064559271,0.0200485259115316,8,temporal,0.3930084017571282,1.23495905512476,0.0009545617586876,0.9808783512268456,0.979923789468158,False
5,1.0685100308212614,0.0236180767817342,9,temporal,0.3936611774912191,1.2396384268983185,0.0021702415959469,0.9808783512268456,0.9787081096308988,False
6,1.1725034777990304,0.0226172129407546,9,temporal,0.3861079009117611,1.267270465257877,0.0020529760397325,0.9808783512268456,0.9788253751871132,False
7,1.1416890806063953,0.0224632678917934,10,temporal,0.4147462023148908,1.2283989735869756,0.0005221511051609,0.9808783512268456,0.9803562001216848,False
8,2.229381702112108,0.0281651601693618,10,temporal,0.3962533265488924,1.2065965606141826,-0.0002989347580261,0.9808783512268456,0.981177285984872,False
9,2.637542212450369,0.0215623457368586,5,temporal,0.390479796626318,1.291707744091125,-0.0039091063711035,0.9808783512268456,0.9847874575979492,False
10,2.578434781823439,0.0284389721259283,10,temporal,0.4387658941423759,1.2521867638029696,-0.0008973034797679,0.9808783512268456,0.9817756547066137,False
11,2.6753018738622547,0.0301540331628686,10,temporal,0.3507197445622209,1.3230550409603772,0.0035460956495907,0.9808783512268456,0.977332255577255,False
12,2.6139665666765555,0.0369142201490555,13,temporal,0.4636791058884388,1.1591040588740422,0.0134161786504387,0.9808783512268456,0.967462172576407,False
13,2.7428747231438217,0.0311549673945767,11,temporal,0.3689915723675084,1.265937692064995,0.0047368571870839,0.9808783512268456,0.9761414940397618,False
14,2.639032127934537,0.0355303917055472,17,temporal,0.4351700817065541,1.2691513641499452,0.0007148143085018,0.9808783512268456,0.980163536918344,False
15,3.5419448327395617,0.0369823538271553,17,temporal,0.4011716500157762,1.321866490748158,0.0050237533356535,0.9808783512268456,0.9758545978911922,False
16,2.809347951762544,0.0413038978498257,18,temporal,0.3821020528697884,1.2282943184004376,0.0287366643700609,0.9808783512268456,0.9521416868567848,False
17,2.938494224344287,0.0304315270705554,10,monetary,0.4143905361007748,1.205195661465948,0.0484826043921241,0.9808783512268456,0.9323957468347216,True
18,3.151220695065887,0.0310831989134426,11,monetary,0.3379016160774939,1.285744497271674,0.0511619289112101,0.9808783512268456,0.9297164223156356,True
19,2.5229947118644334,0.0338282908217582,12,temporal,0.3255460991150424,1.2844165484841146,0.0820827299278625,0.9808783512268456,0.8987956212989832,True
20,2.5600707331816674,0.0362048462860334,12,temporal,0.3494057374715384,1.2912844903448215,0.0685097403148531,0.9808783512268456,0.9123686109119926,True
